Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan,S5 Clan,S6 Clan
TeesdezBalls,0,0,0,0,0,D
Mike the 3rd,None,None,E,F,F,C
Fred M.....,D,C,E,E,C,C
Blackandblue,None,E,E,D,E,D
Zack,D,A,A,B,B,A
Robert,E,C,C,C,C,C
Cuse33,E,D,D,D,D,D
Paul,D,C,A,A,A,A
I DON'T CHAT,None,None,None,None,None,F
Harris,F,E,E,F,D,C
Philip,B,C,C,C,C,B
John,C,B,B,B,E,A
Scott,H,A,A,A,A,WPU
Deek,None,None,G,D,D,C
Maverick,G,G,G,D,E,None
Joel,A,A,A,A,None,None
Buckeye45,D,F,E,E,E,E
Beaven,E,C,A,A,A,A
Michael,A,A,A,A,A,WPU
Hobart,G,G,G,G,G,F
ButtonButton,B,B,B,B,B,C
Gerd B Clash,None,G,G,G,F,E
Tom,C,G,G,G,F,E
Matt2,None,None,None,None,None,F
Mike,C,E,C,C,C,C
Tommy,C,F,F,F,F,E
Kkimmes,F,G,None,None,None,None
Jack,A,C,C,C,C,C
Chris,C,F,F,F,F,E
Rory,E,B,E,C,B,B
James,E,A,A,A,B,None
Tom,E,E,E,E,E,D
Hawk,B,A,None,None,None,None
⛳Matthew⛳,D,A,A,A,A,WPU
Matt,A,A,A,A,A,WPU
Sketch,A,F,F,G,G,F
Olddog,E,F,F,F,F,E
Keyser Söze,G,A,A,A,C,A
Jeangulmanut,None,D,G,G,G,F
Les,A,F,None,None,None,None
Kevin,None,None,None,None,None,A
Iceman,None,G,C,C,B,A
Hamish,G,E,E,F,E,D
David,E,D,D,D,E,E
Dave,B,A,A,A,A,A
Eazy E,0,0,0,0,F,F
Julio,A,D,B,E,C,B
Daddy T,None,None,None,A,None,None
Russell,D,E,E,E,E,D
Jhorn,None,None,G,G,E,C
Grip-n-Rip3,None,None,G,D,D,D
Prion,F,E,C,C,C,B
Venician2,B,B,B,None,None,None
Open Man,None,None,G,E,E,B
Cornholio,E,B,B,None,None,None
Rob,B,F,F,E,F,None
Lock2,G,E,E,E,D,D
Dick,A,F,None,None,None,None
Tee Time,D,B,B,B,B,A
Jon Snow,E,D,D,D,A,F
ZipperZipper,F,C,C,C,C,C
Bryan_Lock1,H,E,E,E,C,B
ΠΑΟΚ,D,C,C,C,C,B
Nick,A,A,A,A,A,WPU
BallKiller85,F,D,F,F,None,None
Dominic,F,E,E,E,E,E
Skadoosh,D,A,A,A,A,WPU
Portaguee,C,D,D,D,D,D
Tin Cup,B,C,A,B,B,A
