Name,S1 Clan,S2 Clan,S3 Clan
Mini-me,None,None,F
Jake,A,D,C
D.J,G,E,E
Bobby,A,A,A
King,A,A,None
Jethro,G,D,D
Smiles,A,D,E
BlackCaesar,B,F,F
Joseph,F,D,C
Bernadette,F,C,G
LaffertyDan,G,F,E
#coachp,G,D,C
Michael,B,E,E
Rob,None,None,G
Forrest,C,D,E
DP,B,B,B
BallCrusher,E,D,D
Joe,B,D,D
Juan Centavo,B,C,C
GC Robert,A,C,C
KatBClashin,C,G,B
Poppy,A,A,A
Craig,C,C,C
Jay,A,B,B
Scott,None,G,C
Keyser Soze,G,G,C
Ghost Pepper,C,D,D
Poppa Mupp,G,F,D
Teddy,B,D,D
Duffer,H,G,G
Luckyshot,H,A,A
Crash-n-Burn,B,A,C
Derrick,C,A,B
RV,None,None,B
Dennis,B,F,F
Buck,B,A,A
Gerdclash,None,None,G
Gino,F,E,E
GC - Gards,G,G,G
Monk,F,D,D
Roland,E,C,C
Kirkland,H,E,E
CH€€Z€,D,F,None
Buster Brown,None,None,D
Edison,G,D,B
Washed Balls,C,A,A
Quackers,E,A,A
Random,D,D,D
Brian,A,A,A
Nasty1,B,G,None
Robert,F,F,None
Fred,E,E,F
Gerd-Clasha,None,G,G
Sova4u,F,D,None
Tina,D,C,E
Allison,E,E,C
2ndHand Lion,F,E,E
Sherm,A,A,A
Michael,B,C,C
LuckyGirl2,D,C,C
Whackhead,F,E,E
Dewlap,C,B,B
Betterwetter,C,B,B
Venician3,None,None,G
Dennis,F,D,D
Zephyr2,C,F,C
Cal,None,None,F
Corey,B,D,D
Robin,G,A,A
Victor,D,E,E
Rhyno,G,G,G
GCJimmy,A,E,E
Brooke,F,G,G
Jason,None,None,G
Jason,None,None,F
TofuDaLegend,H,G,None
Brandon22,E,F,F
Davis,E,G,G
BK84,F,F,F
TrippinMocha,E,G,G
Go2urhome,None,None,None
Brian,A,C,D
SirSliceAlot,C,B,B
Rory,C,B,D
Curtis,B,F,F
Falcon,None,A,A
Steve C,E,E,E
Whole N Juan,F,F,F
Buddy,G,F,D
Martin,E,D,D
Jonathan,C,A,A
NoWinForYou,E,G,G
Neal3,None,None,E
Dave,A,B,D
Dave Jr.,G,G,G
Scott,None,C,A
Found it!,B,B,B
John,D,E,E
Craig,C,C,D
