Name,S1 Points,S2 Points,S3 Points,S4 Points
Jethro,1280.0,1470.0,710.0,772.0
Smiles,1360.0,522.0,2050.0,1540.0
BlackCaesar,489.0,365.0,556.0,550.0
Joseph,1190.0,2320.0,368.0,1830.0
Bernadette,1450.0,1460.0,1220.0,1820.0
LaffertyDan,300.0,818.0,3380.0,516.0
#coachp,1290.0,2400.0,4300.0,4620.0
Michael,814.0,1080.0,1600.0,1360.0
Rob,0.0,0.0,244.0,411.0
Forrest,1040.0,519.0,691.0,985.0
DP,1800.0,1890.0,1200.0,2820.0
BallCrusher,1090.0,1650.0,712.0,594.0
Joe,1070.0,971.0,1420.0,973.0
Juan Centavo,1470.0,1360.0,272.0,935.0
GC Robert,1760.0,1030.0,1180.0,0.0
KatBClashin,2040.0,3330.0,3090.0,2080.0
Poppy,6430.0,5790.0,2490.0,0.0
Craig,1520.0,1050.0,2780.0,795.0
Jay,2510.0,2290.0,2600.0,2190.0
Scott,0.0,2150.0,1900.0,1770.0
Keyser Soze,224.0,1790.0,1680.0,1030.0
Ghost Pepper,1280.0,1250.0,2060.0,0.0
Poppa Mupp,508.0,1660.0,1900.0,705.0
Teddy,1090.0,1120.0,789.0,547.0
Duffer,122.0,378.0,253.0,483.0
Luckyshot,9500.0,6110.0,16060.0,7880.0
Crash-n-Burn,3920.0,2420.0,2580.0,2070.0
Derrick,3450.0,3660.0,2020.0,400.0
RV,0.0,0.0,4060.0,2270.0
Dennis,392.0,475.0,318.0,35.0
Buck,3800.0,4540.0,4130.0,5040.0
Phoenix jord ,0.0,0.0,0.0,1930.0
Gerdclash,0.0,0.0,176.0,184.0
Gino,622.0,852.0,796.0,806.0
GC - Gards,264.0,104.0,195.0,993.0
Monk,1350.0,1010.0,1050.0,56.0
Roland,1500.0,1670.0,1500.0,1110.0
Kirkland,659.0,1000.0,539.0,441.0
CH€€Z€,537.0,56.0,0.0,0.0
Buster Brown,0.0,0.0,208.0,366.0
Edison,1360.0,2620.0,3730.0,1860.0
Washed Balls,6720.0,8490.0,5650.0,5340.0
Quackers,3210.0,3880.0,4670.0,3430.0
Random,1050.0,828.0,673.0,0.0
Brian,4930.0,5970.0,14780.0,6010.0
Nasty1,88.0,80.0,0.0,0.0
Robert,430.0,115.0,0.0,0.0
Fred,817.0,402.0,1070.0,753.0
Gerd-Clasha,0.0,379.0,324.0,216.0
Sova4u,1120.0,241.0,0.0,0.0
Tina,1490.0,717.0,1080.0,818.0
Allison,886.0,2100.0,3630.0,3330.0
2ndHand Lion,625.0,930.0,456.0,128.0
Sherm,4440.0,4870.0,6450.0,3880.0
Michael,1390.0,1460.0,2090.0,3680.0
LuckyGirl2,1770.0,1510.0,1820.0,3080.0
Whackhead,795.0,953.0,944.0,32.0
Dewlap,2010.0,1900.0,1920.0,896.0
Betterwetter,2730.0,2080.0,2250.0,0.0
Venician3,0.0,0.0,503.0,0.0
Dennis,1140.0,588.0,472.0,157.0
Zephyr2,420.0,2580.0,3240.0,2480.0
Cal,0.0,0.0,1130.0,890.0
Corey,1090.0,656.0,854.0,552.0
Robin,3180.0,3690.0,2450.0,2640.0
Victor,685.0,1270.0,760.0,1210.0
Rhyno,4.0,70.0,14.0,0.0
GCJimmy,622.0,962.0,466.0,311.0
Brooke,46.0,683.0,979.0,822.0
Jason,0.0,0.0,788.0,15.0
Jason,0.0,286.0,696.0,235.0
TofuDaLegend,0.0,336.0,0.0,0.0
Brandon22,533.0,433.0,627.0,30.0
Davis,159.0,258.0,706.0,522.0
BK84,321.0,397.0,322.0,162.0
Graciebear,0.0,0.0,0.0,0.0
TrippinMocha,38.0,95.0,0.0,0.0
Go2urhome!!!,0.0,0.0,12980.0,10190.0
Brian,1420.0,954.0,914.0,90.0
SirSliceAlot,2060.0,1970.0,1640.0,0.0
Rory,2350.0,920.0,5270.0,3610.0
Curtis,306.0,605.0,950.0,573.0
Falcon,0.0,5390.0,4360.0,4060.0
Steve C,830.0,765.0,768.0,569.0
Whole N Juan,592.0,1100.0,533.0,395.0
Buddy,565.0,955.0,1280.0,1210.0
Martin,993.0,1500.0,2210.0,5840.0
Jonathan,6610.0,7940.0,9910.0,9950.0
NoWinForYou,150.0,665.0,170.0,90.0
Neal3,0.0,0.0,420.0,0.0
Dave,1940.0,1370.0,2660.0,1880.0
Dave Jr.,147.0,120.0,310.0,180.0
Scott,0.0,5190.0,3010.0,2360.0
Found it!,4720.0,3790.0,1940.0,2630.0
John,890.0,1400.0,658.0,236.0
Craig,1830.0,989.0,6000.0,1860.0
