Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan
Hawk,None,C,None,None
Edward,B,E,E,E
Miles...,None,G,G,E
Rassa,C,D,D,D
Noonan!,C,C,B,B
Kyle,B,B,B,B
Pod,None,G,G,G
Big Hampton,D,E,E,D
GC-Russ,G,E,F,F
Olddog62,E,E,E,E
Dan C.,E,C,C,C
Michael,None,None,D,D
Steve,C,D,D,D
Ty Webb,C,B,B,B
Stephen,G,B,A,A
Overreaction,D,E,F,F
Free.Rider,G,C,None,None
Shanker,F,C,C,C
Bohica,F,B,B,None
Go Blue TB12,D,C,C,C
Zemanch,F,E,C,C
Richard,E,G,G,G
Zoey,G,D,D,F
Jim,E,D,D,D
InDaHole,A,C,C,C
OhYeah,C,B,B,B
Amber,H,E,E,E
TaylorMade,B,F,F,F
Anthony,C,G,G,G
Mike,B,E,E,F
Bust'n Balls,D,E,D,D
F. Ouimet,C,A,B,B
MinH,F,B,B,D
Clint,D,F,F,F
Betheball,None,None,G,C
KC GC,F,C,C,C
Wurx,None,None,None,None
Foot Wedge $,D,E,C,C
Kevin,A,A,A,A
Velcro Balls,None,None,None,B
GolfPlumber,G,D,D,None
#GoBlue,B,E,E,E
Dregoboss,E,E,E,E
Neal2,None,None,E,None
Albi Seeker,E,G,G,G
Chrissy,D,G,G,G
Nikki,None,None,None,None
Karl,None,G,None,None
Dave,E,G,G,G
Mini-me,None,None,F,F
Jake,A,D,C,G
D.J,G,E,E,None
Bobby,A,A,A,A
King,A,A,None,None
Jethro,G,D,D,D
Smiles,A,D,E,C
BlackCaesar,B,F,F,F
Joseph,F,D,C,F
Bernadette,F,C,G,D
LaffertyDan,G,F,E,B
#coachp,G,D,C,A
Michael,B,E,E,D
Rob,None,None,G,G
Forrest,C,D,E,E
DP,B,B,B,B
BallCrusher,E,D,D,D
Joe,B,D,D,D
Juan Centavo,B,C,C,F
GC Robert,A,C,C,None
KatBClashin,C,G,B,B
Poppy,A,A,A,None
Craig,C,C,C,C
Jay,A,B,B,B
Scott,None,G,C,C
Keyser Soze,G,G,C,C
Ghost Pepper,C,D,D,None
Poppa Mupp,G,F,D,C
Teddy,B,D,D,D
Duffer,H,G,G,G
Luckyshot,H,A,A,A
Crash-n-Burn,B,A,C,C
Derrick,C,A,B,B
RV,None,None,B,B
Dennis,B,F,F,F
Buck,B,A,A,A
Phoenix jord ,None,None,None,C
Gerdclash,None,None,G,G
Gino,F,E,E,E
GC - Gards,G,G,G,G
Monk,F,D,D,D
Roland,E,C,C,C
Kirkland,H,E,E,E
CH€€Z€,D,F,None,None
Buster Brown,None,None,D,D
Edison,G,D,B,B
Washed Balls,C,A,A,A
Quackers,E,A,A,A
Random,D,D,D,D
Brian,A,A,A,A
Nasty1,B,G,None,None
Robert,F,F,None,None
Fred,E,E,F,E
Gerd-Clasha,None,G,G,G
Sova4u,F,D,None,None
Tina,D,C,E,E
Allison,E,E,C,B
2ndHand Lion,F,E,E,F
Sherm,A,A,A,A
Michael,B,C,C,C
LuckyGirl2,D,C,C,C
Whackhead,F,E,E,E
Dewlap,C,B,B,B
Betterwetter,C,B,B,None
Venician3,None,None,G,None
Dennis,F,D,D,E
Zephyr2,C,F,C,B
Cal,None,None,F,D
Corey,B,D,D,D
Robin,G,A,A,C
Victor,D,E,E,E
Rhyno,G,G,G,G
GCJimmy,A,E,E,E
Brooke,F,G,G,E
Jason,None,None,G,E
Jason,None,None,F,F
TofuDaLegend,H,G,None,None
Brandon22,E,F,F,F
Davis,E,G,G,E
BK84,F,F,F,F
Graciebear,None,None,None,None
TrippinMocha,E,G,G,G
Go2urhome!!!,None,None,None,A
Brian,A,C,D,D
SirSliceAlot,C,B,B,None
Rory,C,B,D,A
Curtis,B,F,F,E
Falcon,None,A,A,A
Steve C,E,E,E,E
Whole N Juan,F,F,F,F
Buddy,G,F,D,D
Martin,E,D,D,C
Jonathan,C,A,A,A
NoWinForYou,E,G,G,G
Neal3,None,None,E,None
Dave,A,B,D,C
Dave Jr.,G,G,G,G
Scott,None,C,A,C
Found it!,B,B,B,B
John,D,E,E,E
Craig,C,C,D,A
