Name,S1 Points,S2 Points,S3 Points,S4 Points,S5 Points,S6 Points
Teddy13,17.0,6.0,27.0,0.0,23.0,12.0
Care,1020.0,1310.0,468.0,377.0,65.0,0.0
Brainiac,576.0,620.0,216.0,144.0,244.0,368.0
Craig,0.0,446.0,128.0,0.0,0.0,0.0
Brian,1440.0,1310.0,20.0,498.0,0.0,0.0
Ty Webb,5520.0,4820.0,7540.0,5540.0,7660.0,0.0
Andrew,2570.0,2440.0,2800.0,3880.0,3670.0,3970.0
Ben,0.0,0.0,0.0,0.0,0.0,42.0
RichDolla,0.0,0.0,0.0,0.0,0.0,0.0
Law,3920.0,7840.0,0.0,0.0,0.0,0.0
Gwo,3300.0,4300.0,6270.0,3870.0,0.0,0.0
Slumerican,464.0,271.0,1520.0,326.0,1110.0,576.0
DLB,2230.0,2680.0,4370.0,2820.0,3020.0,2780.0
John P,528.0,606.0,269.0,559.0,0.0,0.0
Ben,3450.0,5300.0,4330.0,4390.0,7140.0,0.0
Bruce,991.0,800.0,1600.0,1130.0,803.0,857.0
Dylan,0.0,0.0,0.0,0.0,1910.0,4190.0
Ron,10230.0,8150.0,5690.0,5250.0,7180.0,7130.0
Shooter,2030.0,2090.0,2560.0,1990.0,1410.0,1220.0
Flash Clash,411.0,1030.0,711.0,974.0,871.0,678.0
Sam,1430.0,1060.0,628.0,718.0,923.0,892.0
Warren,1030.0,256.0,0.0,0.0,0.0,0.0
Michael,1020.0,573.0,949.0,267.0,782.0,1350.0
Venician,3820.0,4700.0,3760.0,0.0,0.0,0.0
Trouble Boy,269.0,3230.0,3080.0,1530.0,0.0,0.0
Tanstaafl,772.0,338.0,0.0,0.0,0.0,0.0
Delroy,1460.0,1700.0,1030.0,576.0,1260.0,320.0
Charles,1230.0,1090.0,2480.0,1870.0,1640.0,1772.0
Ty Webb,189.0,371.0,108.0,150.0,314.0,283.0
Ghost,3520.0,2440.0,3260.0,1480.0,4340.0,0.0
Studnitz,1130.0,2200.0,2280.0,1160.0,3400.0,1330.0
Dalton,921.0,1100.0,1970.0,1720.0,841.0,1770.0
Tee-1000,2990.0,1700.0,3320.0,1750.0,1400.0,1890.0
James,166.0,151.0,277.0,407.0,0.0,0.0
Jochen,280.0,3090.0,4130.0,1240.0,1480.0,875.0
Rory,0.0,0.0,0.0,261.0,949.0,935.0
Andy G,902.0,1430.0,1250.0,1050.0,1400.0,855.0
Tom,625.0,980.0,574.0,1850.0,1060.0,1480.0
Bill,643.0,855.0,1020.0,1240.0,1120.0,1620.0
Bunkerseeker,1460.0,1150.0,0.0,0.0,0.0,0.0
HoneyB,2140.0,2390.0,1880.0,2240.0,2350.0,0.0
Ricko,577.0,744.0,579.0,358.0,324.0,495.0
Charles,1220.0,1150.0,0.0,0.0,0.0,0.0
Jason,0.0,1720.0,0.0,0.0,0.0,0.0
Jay Enright,1720.0,488.0,622.0,1140.0,2990.0,2000.0
Shao-Ting,290.0,300.0,376.0,136.0,152.0,408.0
ANewName,320.0,413.0,160.0,378.0,627.0,0.0
Ido Haiku,1240.0,1000.0,418.0,603.0,584.0,406.0
MrPWest,757.0,665.0,773.0,440.0,858.0,696.0
Jörgen,6680.0,10890.0,6080.0,3930.0,1680.0,13590.0
Luis,1940.0,3260.0,2770.0,1930.0,0.0,0.0
Virus,1110.0,1380.0,1470.0,1140.0,2310.0,2590.0
CaptPancakes,0.0,0.0,0.0,0.0,1400.0,1120.0
Jok3r,0.0,1680.0,550.0,0.0,0.0,0.0
Darth Ritis,0.0,0.0,0.0,0.0,0.0,1900.0
Amanda,1210.0,995.0,2140.0,1140.0,518.0,880.0
Quackerjack,0.0,0.0,4100.0,3240.0,1670.0,4630.0
Darrin,1150.0,1410.0,457.0,0.0,0.0,0.0
FredM IV,290.0,379.0,508.0,505.0,502.0,521.0
Kernel,0.0,0.0,0.0,0.0,595.0,1830.0
Tin Cup,1360.0,1600.0,2820.0,2750.0,3130.0,2210.0
Cliff,934.0,623.0,1060.0,0.0,0.0,0.0
Oh Henrik,4690.0,4540.0,5290.0,1130.0,380.0,4730.0
Derek,8630.0,10020.0,12780.0,8950.0,8410.0,0.0
Awsungawd,117.0,13.0,0.0,0.0,0.0,0.0
Crash Davis,643.0,233.0,0.0,0.0,0.0,0.0
Shooter,0.0,0.0,0.0,0.0,0.0,0.0
Myst,584.0,498.0,836.0,1210.0,564.0,630.0
JB,0.0,157.0,235.0,222.0,198.0,154.0
Gizmo,0.0,454.0,316.0,615.0,483.0,990.0
Bryantm,0.0,503.0,3810.0,3630.0,0.0,0.0
Ferchu,0.0,0.0,626.0,877.0,771.0,210.0
Badguest,572.0,267.0,323.0,394.0,312.0,357.0
Ray,557.0,1110.0,689.0,581.0,545.0,0.0
The Hobbster,1420.0,1620.0,1590.0,1690.0,1690.0,1440.0
Gee,576.0,349.0,156.0,0.0,0.0,0.0
YankeeJoe,0.0,0.0,1070.0,998.0,1150.0,1740.0
Dean,0.0,0.0,0.0,0.0,108.0,0.0
Joel,912.0,788.0,987.0,2660.0,1960.0,1180.0
Fly Away,446.0,514.0,628.0,404.0,323.0,1040.0
Justin,2460.0,1800.0,0.0,0.0,0.0,0.0
Richard,0.0,0.0,0.0,0.0,0.0,0.0
Luis,4740.0,6500.0,6500.0,6330.0,0.0,0.0
Da' Man,586.0,311.0,148.0,100.0,0.0,0.0
Jennifer,0.0,1180.0,1210.0,666.0,874.0,1618.0
MerdeLadop,1760.0,1740.0,1530.0,1550.0,0.0,0.0
Bradley,7230.0,9050.0,6710.0,7180.0,9100.0,0.0
Eugene,516.0,335.0,776.0,1170.0,637.0,692.0
RobertGoulet,1220.0,845.0,517.0,755.0,606.0,561.0
Hookslice,1930.0,2730.0,4640.0,1340.0,2800.0,4310.0
Craig,884.0,1100.0,1190.0,824.0,459.0,613.0
Becca,4300.0,3200.0,1640.0,3040.0,3990.0,3650.0
TeesdezBalls,0.0,0.0,0.0,0.0,0.0,929.0
Mike the 3rd,0.0,0.0,370.0,710.0,1350.0,1280.0
Fred M.....,1480.0,749.0,1090.0,1600.0,1040.0,1600.0
Blackandblue,0.0,759.0,1170.0,790.0,430.0,890.0
Zack,4340.0,5510.0,3250.0,2900.0,3040.0,3690.0
Robert,1470.0,1360.0,1210.0,1400.0,1370.0,2100.0
Cuse33,994.0,825.0,1120.0,939.0,699.0,792.0
Paul,1580.0,4970.0,4490.0,6260.0,5620.0,5350.0
I DON'T CHAT,0.0,0.0,0.0,0.0,0.0,2180.0
Harris,1350.0,897.0,373.0,842.0,1140.0,513.0
Philip,1400.0,1380.0,1410.0,1650.0,1380.0,1120.0
John,2910.0,2440.0,2080.0,966.0,3560.0,5390.0
Scott,12330.0,12610.0,12130.0,9750.0,8150.0,0.0
Deek,0.0,0.0,1220.0,677.0,935.0,1200.0
Maverick,141.0,955.0,1170.0,660.0,1090.0,0.0
Joel,4480.0,4260.0,5200.0,4910.0,0.0,0.0
Buckeye45,510.0,899.0,688.0,624.0,100.0,513.0
Beaven,2300.0,4060.0,4440.0,4580.0,3910.0,4990.0
Michael,7130.0,1550.0,19870.0,8490.0,7100.0,0.0
Hobart,63.0,248.0,12.0,326.0,216.0,0.0
ButtonButton,4430.0,4390.0,1480.0,3820.0,4030.0,1150.0
Gerd B Clash,0.0,344.0,410.0,306.0,252.0,42.0
Tom,271.0,367.0,498.0,554.0,467.0,565.0
Matt2,0.0,0.0,0.0,0.0,0.0,1120.0
Mike,871.0,2020.0,2660.0,1040.0,1030.0,1420.0
Tommy,580.0,296.0,469.0,383.0,242.0,431.0
Kkimmes,20.0,30.0,0.0,0.0,0.0,0.0
Jack,1720.0,1780.0,930.0,1310.0,1180.0,1150.0
Chris,497.0,410.0,372.0,395.0,196.0,337.0
Rory,2290.0,920.0,2880.0,2940.0,1460.0,4500.0
James,4180.0,6200.0,7240.0,2090.0,3770.0,0.0
Tom,790.0,711.0,998.0,614.0,640.0,1169.0
Hawk,4360.0,4130.0,0.0,0.0,0.0,0.0
⛳Matthew⛳,3270.0,5990.0,11490.0,8700.0,6570.0,0.0
Matt,6750.0,4790.0,11130.0,5920.0,10540.0,0.0
Sketch,313.0,138.0,75.0,212.0,178.0,186.0
Olddog,356.0,295.0,363.0,648.0,360.0,202.0
Keyser Söze,5880.0,3900.0,6960.0,1350.0,1780.0,5450.0
Jeangulmanut,0.0,56.0,0.0,8.0,23.0,0.0
Les,311.0,383.0,0.0,0.0,0.0,0.0
Kevin,0.0,0.0,0.0,0.0,0.0,3030.0
Iceman,0.0,1790.0,2530.0,3290.0,561.0,265.0
Hamish,726.0,680.0,402.0,944.0,728.0,550.0
David,1150.0,1070.0,671.0,42.0,262.0,415.0
Dave,4210.0,5160.0,5720.0,5420.0,6160.0,6590.0
Eazy E,0.0,0.0,0.0,0.0,39.0,91.0
Julio,1380.0,2970.0,808.0,1410.0,2130.0,2390.0
Daddy T,0.0,0.0,4190.0,2210.0,0.0,0.0
Russell,753.0,871.0,496.0,317.0,1110.0,801.0
Jhorn,0.0,0.0,499.0,886.0,1720.0,1510.0
Grip-n-Rip3,0.0,0.0,1140.0,942.0,755.0,495.0
Prion,706.0,1800.0,1530.0,1650.0,2050.0,2970.0
Venician2,2740.0,3170.0,2440.0,0.0,0.0,0.0
Open Man,0.0,0.0,1800.0,1540.0,981.0,1600.0
Cornholio,2180.0,3120.0,3580.0,0.0,0.0,0.0
Rob,336.0,506.0,921.0,575.0,186.0,0.0
Lock2,900.0,801.0,1290.0,1060.0,863.0,1098.0
Dick,372.0,209.0,0.0,0.0,0.0,0.0
Tee Time,2520.0,3230.0,3780.0,2930.0,3140.0,3390.0
Jon Snow,2770.0,1730.0,9570.0,3900.0,5690.0,805.0
ZipperZipper,1440.0,1140.0,1910.0,1990.0,1170.0,1130.0
Bryan_Lock1,635.0,1420.0,1390.0,1810.0,1880.0,3020.0
ΠΑΟΚ,1800.0,1260.0,2140.0,1440.0,1050.0,3040.0
Nick,3520.0,3830.0,8060.0,4140.0,5720.0,0.0
BallKiller85,964.0,400.0,192.0,0.0,0.0,0.0
Dominic,838.0,678.0,707.0,604.0,605.0,0.0
Skadoosh,8610.0,7390.0,10180.0,6030.0,10570.0,0.0
Portaguee,1060.0,680.0,1140.0,900.0,1020.0,763.0
Tin Cup,1820.0,4740.0,4120.0,2010.0,1740.0,1420.0
Daddy T x 2,0.0,0.0,1630.0,710.0,0.0,0.0
Chad,2250.0,992.0,589.0,1070.0,791.0,574.0
BruceLee1976,4440.0,5460.0,4390.0,4350.0,5770.0,8590.0
Gerd-Clash,0.0,304.0,588.0,128.0,50.0,46.0
Bink,1110.0,1060.0,1130.0,696.0,1230.0,950.0
Hawk,0.0,830.0,0.0,0.0,0.0,0.0
Edward,769.0,582.0,641.0,886.0,298.0,683.0
Miles...,0.0,546.0,884.0,1910.0,2580.0,0.0
Rassa,1330.0,1170.0,804.0,1120.0,994.0,480.0
Noonan!,1500.0,2720.0,4420.0,3060.0,2640.0,1790.0
